bookrow_id,bookstoreid,storeid,storenumber,storedisplayname,termid,termname,termnumber,programid,programname,campusid,campusname,department,departmentname,division,divisionname,courseid,coursename,section,sectionname,schoolname,instructor,cmid,mtcid,bookimage,title,edition,author,isbn,materialtype,requirementtype,publisher,publishercode,publisherDate,productcatentryid,copyrightyear,rentpricerdisplay,pricerangedisplay,booklink,store_url,user_guid,course_codes,created_on,last_updated_on
,2874,B00275,,Lipscomb University Campus Store,1000000008345,2022 FALL RNBSN - LU UNDERGRAD,,,,,,1000000368530,CORE,,,1000001930812,CORE-328V,1000002918375,CORE-328V 01,Lipscomb University,,,,https://tolbookstores-eanims.s3.amazonaws.com/sized/978013/46/9780134623115.150.jpg,[RENTAL ONLY] Mastering Public Speaking,10,GRICMAS02,9780134623115,,REQ,,, ,,,$49.95-120days,,,https://lipscomb.slingshotedu.com/,,,2022-11-4 16:12:27,2022-11-4 16:12:27
,2874,B00275,,Lipscomb University Campus Store,1000000008345,2022 FALL RNBSN - LU UNDERGRAD,,,,,,1000000368529,NURB,,,1000001930814,NURB-4043,1000002918380,NURB-4043 01,Lipscomb University,,,,,,,,,,,,, ,,, ,,,https://lipscomb.slingshotedu.com/,,,2022-11-4 16:12:27,2022-11-4 16:12:27
,2874,B00275,,Lipscomb University Campus Store,1000000008345,2022 FALL RNBSN - LU UNDERGRAD,,,,,,1000000368529,NURB,,,1000001930811,NURB-4033,1000002918377,NURB-4033 01,Lipscomb University,,,,https://tolbookstores-eanims.s3.amazonaws.com/sized/978013/47/9780134760933.150.jpg,MyLab Nursing for Effective Leadership and Management in Nursing (Access Code),9,SULLIVAN,9780134760933,,REQ,,, ,,,$99.99-720days,,,https://lipscomb.slingshotedu.com/,,,2022-11-4 16:12:27,2022-11-4 16:12:27
,2874,B00275,,Lipscomb University Campus Store,1000000008345,2022 FALL RNBSN - LU UNDERGRAD,,,,,,1000000368529,NURB,,,1000001930810,NURB-4093,1000002918374,NURB-4093 01,Lipscomb University,,,,,,,,,,,,, ,,, ,,,https://lipscomb.slingshotedu.com/,,,2022-11-4 16:12:27,2022-11-4 16:12:27
,2874,B00275,,Lipscomb University Campus Store,1000000008064,2022 FALL - LU PHARM.D,,,,,,1000000364934,PHAE,,,1000001918915,PHAE-4064,1000002902440,PHAE-4064 01,Lipscomb University,,,,,,,,,,,,, ,,, ,,,https://lipscomb.slingshotedu.com/,,,2022-11-4 16:12:27,2022-11-4 16:12:27
,2874,B00275,,Lipscomb University Campus Store,1000000008064,2022 FALL - LU PHARM.D,,,,,,1000000364934,PHAE,,,1000001935372,PHAE-4174,1000002925869,PHAE-4174 01,Lipscomb University,,,,,,,,,,,,, ,,, ,,,https://lipscomb.slingshotedu.com/,,,2022-11-4 16:12:27,2022-11-4 16:12:27
,2874,B00275,,Lipscomb University Campus Store,1000000008064,2022 FALL - LU PHARM.D,,,,,,1000000364934,PHAE,,,1000001930813,PHAE-4474,1000002918376,PHAE-4474 01,Lipscomb University,,,,,,,,,,,,, ,,, ,,,https://lipscomb.slingshotedu.com/,,,2022-11-4 16:12:27,2022-11-4 16:12:27
,2874,B00275,,Lipscomb University Campus Store,1000000008064,2022 FALL - LU PHARM.D,,,,,,1000000364934,PHAE,,,1000001919258,PHAE-4384,1000002902678,PHAE-4384 01,Lipscomb University,,,,,,,,,,,,, ,,, ,,,https://lipscomb.slingshotedu.com/,,,2022-11-4 16:12:27,2022-11-4 16:12:27
,2874,B00275,,Lipscomb University Campus Store,1000000008064,2022 FALL - LU PHARM.D,,,,,,1000000364934,PHAE,,,1000001919257,PHAE-4674,1000002902686,PHAE-4674 01,Lipscomb University,,,,,,,,,,,,, ,,, ,,,https://lipscomb.slingshotedu.com/,,,2022-11-4 16:12:27,2022-11-4 16:12:27
,2874,B00275,,Lipscomb University Campus Store,1000000008064,2022 FALL - LU PHARM.D,,,,,,1000000364934,PHAE,,,1000001919256,PHAE-4204,1000002902680,PHAE-4204 01,Lipscomb University,,,,,,,,,,,,, ,,, ,,,https://lipscomb.slingshotedu.com/,,,2022-11-4 16:12:27,2022-11-4 16:12:27
